Geography,zip,Less than high school graduate,High school graduate or higher,Some college or associates degree,Bachelor degree or higher,Graduate degree or higher
860Z200US10279,10279,0,322,69,231,45
860Z200US10280,10280,155,14713,709,15794,3268
860Z200US10282,10282,36,9195,616,8658,2186
860Z200US10301,10301,4316,56817,7900,28921,5350
860Z200US10302,10302,1813,26432,3338,9662,1321
860Z200US10303,10303,3966,35041,5111,13475,1644
860Z200US10304,10304,5618,61812,9154,25882,3357
860Z200US10305,10305,5108,63059,9000,27320,4000
860Z200US10306,10306,5096,85016,10871,34161,5324
860Z200US10307,10307,832,21275,3500,10381,1914
860Z200US10308,10308,1398,49283,5923,23572,3835
860Z200US10309,10309,1954,52131,7336,23865,3848
860Z200US10310,10310,2518,36081,5213,14771,2523
860Z200US10311,10311,0,0,0,0,0
860Z200US10312,10312,3323,96063,12528,46447,6835
860Z200US10314,10314,7261,141458,18566,67449,8976
860Z200US10451,10451,10474,59126,10538,18226,2029
860Z200US10452,10452,16935,85030,15830,19548,2116
860Z200US10453,10453,17599,86034,15230,21535,1782
860Z200US10454,10454,10770,39955,7221,8802,668
860Z200US10455,10455,10245,46291,8290,10992,1068
860Z200US10456,10456,20430,92693,17114,19889,1861
860Z200US10457,10457,16125,83863,15102,20015,2323
860Z200US10458,10458,17553,83864,19337,19688,2315
860Z200US10459,10459,11321,55615,10828,13039,1262
860Z200US10460,10460,12920,68091,11475,15523,1189
860Z200US10461,10461,7103,69349,11378,26214,3681
860Z200US10462,10462,9734,103766,16504,39318,4873
860Z200US10463,10463,8991,94106,12842,54457,10505
860Z200US10464,10464,182,7411,738,4690,1008
860Z200US10465,10465,4818,63345,11508,24613,3499
860Z200US10466,10466,10363,95838,14948,32138,4406
860Z200US10467,10467,18499,119940,20476,38275,5574
860Z200US10468,10468,16700,93658,15990,21541,2852
860Z200US10469,10469,9658,97587,15942,37733,5320
860Z200US10470,10470,1691,23256,3007,12389,1221
860Z200US10471,10471,1599,32916,4672,23780,5361
860Z200US10472,10472,14588,70970,12173,16535,1603
860Z200US10473,10473,10872,73270,13769,24353,3439
860Z200US10474,10474,1919,13196,1933,2815,429
860Z200US10475,10475,4997,62681,11714,21569,3160
860Z200US10501,10501,18,2172,221,2023,393
860Z200US10502,10502,132,8182,444,7183,1766
860Z200US10503,10503,0,188,7,190,71
860Z200US10504,10504,138,11135,661,11015,2191
860Z200US10505,10505,51,1748,101,1230,229
860Z200US10506,10506,165,8268,513,8482,1925
860Z200US10507,10507,1226,7580,1012,4606,915
860Z200US10509,10509,1429,30126,3937,16488,2347
860Z200US10510,10510,337,15084,1341,13518,2905
860Z200US10511,10511,74,3557,451,2143,237
860Z200US10512,10512,1804,38529,4693,19976,3320
860Z200US10514,10514,185,16825,1112,16637,4421
860Z200US10516,10516,163,8762,985,6475,1265
860Z200US10517,10517,51,587,82,407,36
860Z200US10518,10518,32,1209,112,1281,139
860Z200US10519,10519,0,86,0,129,0
860Z200US10520,10520,542,18659,2225,13804,2680
860Z200US10522,10522,419,15108,1985,12223,3138
860Z200US10523,10523,668,13302,1824,8352,1075
860Z200US10524,10524,146,7013,846,4083,1016
860Z200US10526,10526,114,2654,204,2534,593
860Z200US10527,10527,6,937,63,822,210
860Z200US10528,10528,319,18829,2621,13387,1985
860Z200US10530,10530,671,22523,2006,18781,3452
860Z200US10532,10532,355,7347,888,4800,989
860Z200US10533,10533,108,9689,778,9055,2390
860Z200US10535,10535,6,390,5,424,146
860Z200US10536,10536,309,15386,1030,14279,2740
860Z200US10537,10537,151,4177,557,2711,506
860Z200US10538,10538,406,23849,1338,23271,5273
860Z200US10540,10540,23,19,11,0,0
860Z200US10541,10541,1262,38732,6099,20111,3195
860Z200US10542,10542,0,0,0,0,0
860Z200US10543,10543,1937,28840,3170,21264,3641
860Z200US10545,10545,26,355,17,261,114
860Z200US10546,10546,0,1388,71,1570,332
860Z200US10547,10547,387,11324,1741,6504,1182
860Z200US10548,10548,249,6259,1074,3452,475
860Z200US10549,10549,1384,21925,1836,16949,4056
860Z200US10550,10550,5946,55656,9681,16746,2911
860Z200US10552,10552,1895,33082,4747,21399,3762
860Z200US10553,10553,1483,14146,2589,8852,1113
860Z200US10560,10560,107,7713,697,6342,958
860Z200US10562,10562,3709,48711,6166,27918,6116
860Z200US10566,10566,2679,38075,5603,18466,2897
860Z200US10567,10567,1334,29443,3980,17595,3750
860Z200US10570,10570,445,17405,1683,15956,3259
860Z200US10573,10573,5620,53616,7351,30994,5143
860Z200US10576,10576,120,7553,510,7396,1216
860Z200US10577,10577,79,5127,2344,4433,586
860Z200US10578,10578,0,2432,138,2451,187
860Z200US10579,10579,307,12579,2076,6637,1152
860Z200US10580,10580,361,23496,1484,23364,5240
860Z200US10583,10583,784,56831,3502,53202,13348
860Z200US10588,10588,213,4360,528,3335,517
860Z200US10589,10589,216,12048,1417,8870,2039
860Z200US10590,10590,103,10875,1081,9188,1606
860Z200US10591,10591,2610,32281,3909,23661,4942
860Z200US10594,10594,282,7992,1103,5216,890
860Z200US10595,10595,627,10602,1330,6472,894
860Z200US10596,10596,104,1450,125,546,75
860Z200US10597,10597,21,845,57,828,257
860Z200US10598,10598,1329,43091,5319,30709,5274
860Z200US10601,10601,940,16671,2235,12608,2437
860Z200US10603,10603,1655,27779,3456,17546,3220
860Z200US10604,10604,936,15448,1730,9696,1847
860Z200US10605,10605,1270,29083,3001,23488,5400
860Z200US10606,10606,1792,22598,3175,13130,2744
860Z200US10607,10607,642,9748,1268,6082,1237
860Z200US10701,10701,10221,86696,14015,35266,5544
860Z200US10703,10703,3437,31479,5271,12274,2249
860Z200US10704,10704,3374,47565,6098,22323,3925
860Z200US10705,10705,6179,49589,7923,20308,3596
860Z200US10706,10706,386,13200,1032,11487,2752
860Z200US10707,10707,467,15362,1678,12568,2563
860Z200US10708,10708,726,32932,4598,25392,5696
860Z200US10709,10709,453,13660,1461,10699,2034
860Z200US10710,10710,1691,40429,5628,22762,3371
860Z200US10801,10801,5065,54932,7700,27834,5926
860Z200US10803,10803,302,17408,1533,15045,3473
860Z200US10804,10804,379,20460,1558,18974,4727
860Z200US10805,10805,3170,28814,4256,14128,2355
860Z200US10901,10901,1594,34845,4855,21393,3952
860Z200US10910,10910,0,0,0,0,0
860Z200US10911,10911,0,30,0,18,0
860Z200US10913,10913,208,7490,1269,4631,799
860Z200US10914,10914,0,446,133,40,14
860Z200US10915,10915,0,0,0,0,0
860Z200US10916,10916,122,6398,1100,3205,510
860Z200US10917,10917,100,2179,536,1428,260
860Z200US10918,10918,371,18692,2935,8714,1324
860Z200US10919,10919,124,1966,258,1365,57
860Z200US10920,10920,441,12093,1856,7954,1231
860Z200US10921,10921,210,6688,1083,2511,405
860Z200US10922,10922,57,2045,375,622,125
860Z200US10923,10923,542,11724,1956,5567,518
860Z200US10924,10924,1091,20927,2867,10387,1935
860Z200US10925,10925,342,7018,1084,2888,355
860Z200US10926,10926,168,5861,786,2804,438
860Z200US10927,10927,1980,15722,2360,5553,645
860Z200US10928,10928,350,8237,905,3557,591
860Z200US10930,10930,478,13765,3017,6975,1338
860Z200US10931,10931,107,1420,181,450,91
860Z200US10932,10932,13,82,8,0,0
860Z200US10933,10933,0,500,69,177,42
860Z200US10940,10940,5569,72526,12719,21354,3472
860Z200US10941,10941,887,22219,3970,7576,990
860Z200US10950,10950,6241,57116,10840,20033,2882
860Z200US10952,10952,3928,42087,8394,13700,2310
860Z200US10953,10953,0,0,0,0,0
860Z200US10954,10954,2179,39733,5620,24584,3500
860Z200US10956,10956,1605,44640,5184,33998,5536
