Geography,zip,Less than high school graduate,High school graduate or higher,Some college or associates degree,Bachelor degree or higher,Graduate degree or higher
860Z200US00601,601,4044,21001,3364,6025,283
860Z200US00602,602,9648,45695,7510,17381,1359
860Z200US00603,603,9360,68058,8954,24178,2883
860Z200US00606,606,1710,6420,991,1163,129
860Z200US00610,610,5378,33781,5143,12085,1014
860Z200US00611,611,345,1659,213,651,57
860Z200US00612,612,9034,90601,13731,36863,3146
860Z200US00616,616,1707,14562,1974,4619,264
860Z200US00617,617,3829,31742,4541,10652,848
860Z200US00622,622,1778,10282,1890,3743,430
860Z200US00623,623,7097,52386,9050,23891,2079
860Z200US00624,624,4260,26835,4309,10818,512
860Z200US00627,627,6928,41272,8259,14450,1547
860Z200US00631,631,392,1597,267,937,59
860Z200US00636,636,157,1074,214,408,44
860Z200US00637,637,3593,31602,4489,11765,781
860Z200US00638,638,4461,21821,3651,5771,352
860Z200US00641,641,4902,31595,6159,10927,793
860Z200US00646,646,4786,50247,7728,23231,2635
860Z200US00647,647,748,6433,765,1477,57
860Z200US00650,650,2370,19014,3119,5557,329
860Z200US00652,652,634,5489,962,2384,153
860Z200US00653,653,2168,11647,1623,2573,241
860Z200US00656,656,3087,24844,4190,9162,780
860Z200US00659,659,6368,50945,8736,22599,2351
860Z200US00660,660,2414,23232,3186,9623,775
860Z200US00662,662,7342,57175,8110,21969,2003
860Z200US00664,664,2267,21028,3171,5997,495
860Z200US00667,667,5114,30884,5456,10124,716
860Z200US00669,669,6948,32788,6295,11183,1111
860Z200US00670,670,2239,10584,1180,3162,189
860Z200US00674,674,7228,54127,7769,19056,1725
860Z200US00676,676,7659,47500,6344,17510,1528
860Z200US00677,677,3228,20546,3684,7764,619
860Z200US00678,678,5041,33250,5962,10689,966
860Z200US00680,680,8621,54731,9616,21108,2191
860Z200US00682,682,4988,36185,7812,16013,2287
860Z200US00683,683,6064,40323,4892,14383,1331
860Z200US00685,685,9315,49802,8513,17556,1455
860Z200US00687,687,5105,38388,6994,10974,852
860Z200US00688,688,2495,15106,2472,4883,260
860Z200US00690,690,919,7415,1219,3120,219
860Z200US00692,692,5884,44640,7323,15370,1863
860Z200US00693,693,9832,75606,11934,28410,2321
860Z200US00694,694,23,187,26,24,12
860Z200US00698,698,5347,49009,5759,19301,1672
860Z200US00703,703,4737,32312,5432,9439,596
860Z200US00704,704,920,9410,1164,2775,170
860Z200US00705,705,3681,36571,4846,11228,1408
860Z200US00707,707,2022,14558,2903,3058,369
860Z200US00714,714,2625,21617,3250,8037,573
860Z200US00715,715,546,2554,196,456,46
860Z200US00716,716,3926,39086,4902,19687,2322
860Z200US00717,717,2117,21292,2894,9662,1084
860Z200US00718,718,3902,32483,3754,10505,974
860Z200US00719,719,6244,36687,7657,11189,861
860Z200US00720,720,4205,26724,4534,7501,568
860Z200US00723,723,2533,23030,4575,6451,827
860Z200US00725,725,10352,113266,18010,46653,4735
860Z200US00727,727,5522,77953,11643,42506,5516
860Z200US00728,728,5863,52963,7567,21005,1900
860Z200US00729,729,6998,67153,11304,25152,2640
860Z200US00730,730,5220,44939,6469,19025,2455
860Z200US00731,731,2634,14079,1668,4631,322
860Z200US00735,735,1884,16520,2252,5271,353
860Z200US00736,736,7446,65865,9281,25559,2573
860Z200US00738,738,3629,45520,6196,18561,1454
860Z200US00739,739,5478,48851,6727,18648,1970
860Z200US00740,740,262,2677,338,898,0
860Z200US00741,741,540,5596,830,1547,66
860Z200US00745,745,7167,68221,10489,25963,1871
860Z200US00751,751,3721,28132,2999,7963,670
860Z200US00754,754,7442,47595,9433,14336,1739
860Z200US00757,757,2573,29443,3630,10780,858
860Z200US00765,765,1742,12039,767,2156,469
860Z200US00766,766,3401,30581,4648,9848,616
860Z200US00767,767,5894,40722,8719,12080,803
860Z200US00769,769,4850,53124,6313,16749,1322
860Z200US00771,771,5271,47851,9085,19371,2111
860Z200US00772,772,3397,24212,3261,4396,186
860Z200US00773,773,2763,25892,3759,8083,890
860Z200US00775,775,136,1786,283,370,11
860Z200US00777,777,5880,51278,9814,16605,1354
860Z200US00778,778,5340,57464,9304,27068,3100
860Z200US00780,780,2076,17642,2599,8056,1014
860Z200US00782,782,3759,24205,4674,6353,521
860Z200US00783,783,6265,44718,8210,14504,1180
860Z200US00784,784,5784,51651,6547,15983,1749
860Z200US00786,786,87,149,0,0,0
860Z200US00791,791,6955,68682,9453,23382,2641
860Z200US00794,794,4461,37770,6753,13002,799
860Z200US00795,795,7951,56328,8705,22856,2057
860Z200US00901,901,993,13484,1175,7437,1489
860Z200US00906,906,0,260,31,206,91
860Z200US00907,907,1280,27651,2725,21707,4286
860Z200US00909,909,512,7488,1228,3830,521
860Z200US00911,911,741,10618,1245,8495,1504
860Z200US00912,912,948,8722,1288,5257,710
860Z200US00913,913,915,8024,980,2844,323
860Z200US00915,915,6264,29323,4459,6732,428
860Z200US00917,917,3179,27433,3761,11066,1638
860Z200US00918,918,1149,24973,2564,20066,3463
860Z200US00920,920,2338,24831,4484,13106,1240
860Z200US00921,921,4210,46522,8998,20153,2484
860Z200US00923,923,3847,34238,5911,11533,1488
860Z200US00924,924,5843,66023,11201,27317,3497
860Z200US00925,925,1174,6572,1496,4158,587
860Z200US00926,926,8423,138161,20135,93392,14204
860Z200US00927,927,744,20862,2701,18174,3079
860Z200US00934,934,0,148,34,110,10
860Z200US00949,949,7963,98379,18632,41059,3600
860Z200US00950,950,0,0,0,0,0
860Z200US00951,951,72,357,60,128,19
860Z200US00952,952,1859,11258,2220,2784,113
860Z200US00953,953,7573,95396,17685,37202,3471
860Z200US00956,956,9641,92271,18561,37475,3080
860Z200US00957,957,5503,58222,10971,24943,2066
860Z200US00959,959,4780,69094,13088,34117,3356
860Z200US00960,960,1204,5608,313,247,17
860Z200US00961,961,3234,43780,7815,22471,2818
860Z200US00962,962,3774,26842,3674,6584,444
860Z200US00965,965,1361,6716,926,1409,59
860Z200US00966,966,933,24906,2637,21718,3093
860Z200US00968,968,120,6073,486,5898,970
860Z200US00969,969,2836,64230,8432,48552,7695
860Z200US00971,971,4715,37347,6209,16941,1886
860Z200US00976,976,6554,91126,15143,47009,4995
860Z200US00979,979,1290,27644,4535,18205,2628
860Z200US00982,982,1552,20465,3413,8514,610
860Z200US00983,983,2674,48466,8075,19732,1636
860Z200US00985,985,3724,51476,8292,19076,1397
860Z200US00987,987,5443,78960,12839,40703,3858
860Z200US01001,1001,838,26656,4034,11593,1671
860Z200US01002,1002,501,25631,7359,21101,5736
860Z200US01003,1003,0,203,11745,92,37
860Z200US01005,1005,349,7854,1054,2952,608
860Z200US01007,1007,279,25167,3650,13154,2514
860Z200US01008,1008,65,2228,246,837,126
860Z200US01009,1009,33,1034,161,543,21
860Z200US01010,1010,133,6069,846,3130,318
860Z200US01011,1011,91,2258,241,464,120
860Z200US01012,1012,25,817,113,171,42
860Z200US01013,1013,2490,32342,5815,9882,1435
860Z200US01020,1020,3691,47700,7058,13268,1642
860Z200US01022,1022,152,3673,589,1282,158
860Z200US01026,1026,21,1742,285,1155,237
860Z200US01027,1027,929,29729,4165,14360,2498
860Z200US01028,1028,667,24511,3738,12931,2120
860Z200US01029,1029,60,873,90,390,57
860Z200US01030,1030,372,21345,3078,7939,1242
860Z200US01031,1031,101,2405,444,604,125
860Z200US01032,1032,3,864,150,441,68
860Z200US01033,1033,358,10155,1624,4948,745
860Z200US01034,1034,61,3528,545,1585,240
860Z200US01035,1035,155,8619,955,6529,1025
860Z200US01036,1036,172,8883,1550,3755,638
860Z200US01037,1037,57,1015,133,526,63
860Z200US01038,1038,102,3907,557,2590,328
860Z200US01039,1039,52,2934,372,1966,428
860Z200US01040,1040,6230,50378,7800,15365,2106
860Z200US01050,1050,149,4358,651,1690,197
860Z200US01053,1053,77,3368,472,1906,317
860Z200US01054,1054,79,2922,241,2116,588
860Z200US01056,1056,2158,33008,5389,10870,1081
860Z200US01057,1057,592,13727,2124,4667,685
860Z200US01060,1060,740,22600,2124,19785,4750
860Z200US01062,1062,498,14918,1893,9779,1998
860Z200US01063,1063,0,36,2029,20,10
860Z200US01066,1066,31,243,32,39,0
860Z200US01068,1068,102,2581,369,1269,181
860Z200US01069,1069,1203,12853,2192,4626,620
860Z200US01070,1070,14,1020,102,512,116
860Z200US01071,1071,48,2221,327,717,83
860Z200US01072,1072,21,2454,232,1910,408
860Z200US01073,1073,192,10359,1618,5090,765
860Z200US01074,1074,129,1009,152,197,28
860Z200US01075,1075,601,25428,5105,14725,2733
860Z200US01077,1077,296,15688,2298,6126,1045
860Z200US01079,1079,25,1149,157,245,28
860Z200US01080,1080,214,4167,691,779,54
860Z200US01081,1081,86,2861,371,890,148
860Z200US01082,1082,672,16917,2315,5475,605
860Z200US01083,1083,166,3935,258,1523,170
860Z200US01084,1084,4,194,6,113,16
860Z200US01085,1085,3136,59662,11759,24846,3320
860Z200US01088,1088,0,1204,346,305,89
860Z200US01089,1089,2180,43987,6796,19886,2889
860Z200US01092,1092,0,2520,404,1013,124
860Z200US01093,1093,3,305,24,145,4
860Z200US01094,1094,0,88,20,18,0
860Z200US01095,1095,410,22874,2758,14457,2825
860Z200US01096,1096,58,4397,497,2612,510
860Z200US01097,1097,0,72,12,0,0
860Z200US01098,1098,33,1784,169,978,183
860Z200US01103,1103,335,3247,480,1852,364
860Z200US01104,1104,4212,27761,4395,5259,873
860Z200US01105,1105,2797,12008,2056,1237,248
860Z200US01106,1106,477,23031,3018,18014,3346
860Z200US01107,1107,2716,12229,1936,2442,417
860Z200US01108,1108,3887,34646,5337,9485,1720
860Z200US01109,1109,4588,34288,8427,8628,1224
860Z200US01118,1118,1259,21740,3602,8704,1479
860Z200US01119,1119,1323,20120,3798,4707,721
860Z200US01128,1128,188,4630,635,1938,408
860Z200US01129,1129,338,10897,1844,3819,486
860Z200US01144,1144,0,0,0,0,0
860Z200US01151,1151,1417,12561,1967,3071,306
860Z200US01201,1201,2769,73915,11004,30424,4689
860Z200US01220,1220,594,14485,1969,4512,426
860Z200US01222,1222,98,853,110,439,29
860Z200US01223,1223,106,4592,610,2037,392
860Z200US01224,1224,9,233,21,44,22
860Z200US01225,1225,175,5554,982,2094,276
860Z200US01226,1226,228,10612,1347,4965,898
860Z200US01229,1229,8,219,36,138,24
860Z200US01230,1230,428,14409,2048,7921,1376
860Z200US01235,1235,256,4284,619,1143,180
860Z200US01236,1236,74,2699,295,1845,351
860Z200US01237,1237,109,3997,453,2011,458
860Z200US01238,1238,105,10525,1346,5184,1124
860Z200US01240,1240,273,8376,857,5129,783
860Z200US01242,1242,4,397,116,116,25
860Z200US01243,1243,0,287,40,149,25
860Z200US01244,1244,7,320,67,101,13
860Z200US01245,1245,113,1219,150,853,243
860Z200US01247,1247,1393,23524,4053,7315,1245
860Z200US01253,1253,47,1510,236,752,124
860Z200US01254,1254,20,1823,157,1304,247
860Z200US01255,1255,96,1500,235,498,130
860Z200US01256,1256,52,1093,139,272,22
860Z200US01257,1257,25,4304,689,1718,424
860Z200US01258,1258,6,340,65,220,29
860Z200US01259,1259,7,1010,186,515,136
860Z200US01260,1260,0,60,0,0,0
860Z200US01262,1262,52,3149,409,1900,512
860Z200US01264,1264,2,388,43,265,51
860Z200US01266,1266,32,1633,80,1313,286
860Z200US01267,1267,152,9711,2865,7259,2014
860Z200US01270,1270,24,1636,301,801,124
860Z200US01301,1301,1280,28500,4024,13015,2071
860Z200US01330,1330,51,2954,367,1690,345
860Z200US01331,1331,1189,22304,3382,5555,592
860Z200US01337,1337,117,4344,603,1699,242
860Z200US01338,1338,0,157,4,48,24
860Z200US01339,1339,89,2525,388,1090,160
860Z200US01340,1340,116,3291,379,1337,278
860Z200US01341,1341,41,2729,316,1828,433
860Z200US01342,1342,48,2205,220,1032,303
860Z200US01343,1343,17,271,48,42,0
860Z200US01344,1344,99,2716,361,773,93
860Z200US01346,1346,22,713,77,413,58
860Z200US01347,1347,20,274,57,251,13
860Z200US01349,1349,8,1219,272,305,106
860Z200US01350,1350,4,198,31,31,9
860Z200US01351,1351,194,4420,447,2313,429
860Z200US01354,1354,60,2869,425,1671,187
860Z200US01355,1355,38,1789,325,655,83
860Z200US01360,1360,206,4513,603,2474,463
860Z200US01364,1364,576,12631,1799,2585,304
860Z200US01366,1366,31,2035,332,1000,215
860Z200US01367,1367,34,800,116,258,34
860Z200US01368,1368,124,2218,316,711,101
860Z200US01370,1370,166,6295,757,3982,721
860Z200US01373,1373,154,8309,1442,4203,829
860Z200US01375,1375,137,5439,1066,3861,679
860Z200US01376,1376,318,8549,1022,2918,559
860Z200US01378,1378,24,1553,157,714,90
860Z200US01379,1379,19,1434,170,815,157
860Z200US01380,1380,0,59,7,25,2
860Z200US01420,1420,4550,59108,10701,18288,2084
860Z200US01430,1430,296,9573,1797,4577,607
860Z200US01431,1431,195,5472,646,2645,493
860Z200US01432,1432,832,12085,1862,6215,888
860Z200US01434,1434,213,2795,473,1135,191
860Z200US01436,1436,381,5030,969,1439,178
860Z200US01438,1438,52,346,81,128,7
860Z200US01440,1440,2077,34933,6037,8572,1043
860Z200US01450,1450,466,15332,1611,11973,2117
860Z200US01451,1451,94,7717,589,7255,1275
860Z200US01452,1452,280,6822,1190,2547,327
860Z200US01453,1453,3533,67617,10224,28379,3793
860Z200US01460,1460,364,15361,1540,10119,2075
860Z200US01462,1462,489,18421,2556,9203,1331
860Z200US01463,1463,378,18435,2640,9576,1556
860Z200US01464,1464,531,12410,1597,5038,682
860Z200US01468,1468,133,6812,1122,2860,375
860Z200US01469,1469,352,11145,1608,5490,591
860Z200US01473,1473,459,13547,1762,6357,1178
860Z200US01474,1474,101,3110,610,1169,162
860Z200US01475,1475,558,16163,2664,4453,598
860Z200US01501,1501,894,26446,3425,13428,2204
860Z200US01503,1503,81,6195,554,3924,607
860Z200US01504,1504,322,15288,2141,6195,738
860Z200US01505,1505,150,7750,1103,5137,813
860Z200US01506,1506,119,6006,890,1816,200
860Z200US01507,1507,577,20416,2612,9374,1501
860Z200US01510,1510,905,24120,3948,10835,1605
860Z200US01515,1515,62,3827,525,1194,115
860Z200US01516,1516,116,14813,2019,7100,851
860Z200US01518,1518,83,4634,613,2315,536
860Z200US01519,1519,195,10941,1038,8723,1177
860Z200US01520,1520,502,23972,2865,17549,3246
860Z200US01521,1521,141,4381,740,1696,187
860Z200US01522,1522,48,4313,688,2838,504
860Z200US01523,1523,522,13225,1472,8521,1094
860Z200US01524,1524,310,9515,1737,3252,472
860Z200US01525,1525,31,0,0,0,0
860Z200US01527,1527,776,22170,3545,8833,1465
860Z200US01529,1529,217,5109,869,1934,212
860Z200US01531,1531,99,1525,247,723,98
860Z200US01532,1532,454,23164,2394,18137,3649
860Z200US01534,1534,570,8948,1147,4600,728
860Z200US01535,1535,258,8121,1047,2802,428
860Z200US01536,1536,347,11170,1408,6101,1188
860Z200US01537,1537,147,2696,457,1183,118
860Z200US01540,1540,462,19106,3203,5617,896
860Z200US01541,1541,49,5455,643,4270,671
860Z200US01542,1542,115,4565,901,1398,303
860Z200US01543,1543,309,13305,2327,6515,953
860Z200US01545,1545,1533,56065,5313,44072,9205
860Z200US01550,1550,2725,23364,3908,5679,565
860Z200US01560,1560,135,7474,715,4261,819
860Z200US01561,1561,0,0,0,0,0
860Z200US01562,1562,850,20938,2625,5964,854
860Z200US01564,1564,223,13710,1590,8285,1166
860Z200US01566,1566,289,10381,1747,5577,914
860Z200US01568,1568,130,11705,1549,8517,1223
860Z200US01569,1569,705,22692,3521,10001,1323
860Z200US01570,1570,1174,28208,4331,9183,942
860Z200US01571,1571,619,17149,3674,5725,730
860Z200US01581,1581,734,30401,2584,25663,5309
860Z200US01583,1583,511,12346,1744,5908,1036
860Z200US01585,1585,326,8716,1280,2794,378
860Z200US01588,1588,486,15794,2777,5707,823
860Z200US01590,1590,197,14679,2069,8098,1482
860Z200US01602,1602,1667,37579,6135,20846,3811
860Z200US01603,1603,2349,29331,5449,9242,781
860Z200US01604,1604,4504,59927,8459,24727,3443
860Z200US01605,1605,3186,41028,6166,15163,2206
860Z200US01606,1606,1652,34363,4693,16913,2882
860Z200US01607,1607,961,12293,1819,5130,419
860Z200US01608,1608,880,5545,835,2928,288
860Z200US01609,1609,1724,28597,6967,16025,3223
860Z200US01610,1610,4091,27383,8276,7805,1050
860Z200US01611,1611,136,3289,637,1158,167
860Z200US01612,1612,201,6983,1350,4304,747
860Z200US01701,1701,1329,50679,5301,37966,6255
860Z200US01702,1702,4962,51186,6688,27755,4381
860Z200US01718,1718,0,1001,123,904,218
860Z200US01719,1719,108,7881,527,7351,1440
860Z200US01720,1720,759,32485,2350,30118,7180
860Z200US01721,1721,488,29578,3237,21936,4044
860Z200US01730,1730,671,20528,1755,17586,3627
860Z200US01731,1731,8,2009,472,818,155
860Z200US01740,1740,32,7997,617,7315,1559
860Z200US01741,1741,63,7244,603,6996,1719
860Z200US01742,1742,538,26318,1685,23339,6255
860Z200US01745,1745,13,756,50,709,103
860Z200US01746,1746,496,21819,2304,18106,2895
860Z200US01747,1747,216,8792,1182,4908,671
860Z200US01748,1748,401,26256,1948,23396,4985
860Z200US01749,1749,1606,29623,3936,17560,2597
860Z200US01752,1752,3900,62003,7608,31676,5009
860Z200US01754,1754,394,15824,1629,12147,2453
860Z200US01756,1756,115,9533,1181,6235,716
860Z200US01757,1757,3187,44780,6232,20128,2633
860Z200US01760,1760,734,55999,4297,46554,9546
860Z200US01770,1770,76,5954,355,5920,1335
860Z200US01772,1772,261,13657,1293,11868,2526
860Z200US01773,1773,128,7503,394,7709,2086
860Z200US01775,1775,124,10379,742,9078,1911
860Z200US01776,1776,361,26100,1269,25999,5807
860Z200US01778,1778,356,19618,1610,18781,4250
860Z200US01801,1801,2764,63386,7138,37238,5863
860Z200US01803,1803,849,41258,4068,29332,4629
860Z200US01810,1810,849,50720,3972,46666,10017
860Z200US01821,1821,1203,49258,7056,25935,3989
860Z200US01824,1824,1020,39595,5007,28076,4794
860Z200US01826,1826,2319,50377,6134,21520,2223
860Z200US01827,1827,98,4929,672,3553,577
860Z200US01830,1830,2484,39718,5937,14393,1998
860Z200US01832,1832,2363,39006,6024,13435,1454
860Z200US01833,1833,199,12658,1514,8684,1262
860Z200US01834,1834,279,10434,1565,5755,929
860Z200US01835,1835,806,21420,4195,10086,1369
860Z200US01840,1840,1601,7800,1045,1701,236
860Z200US01841,1841,11067,56637,8732,11478,891
860Z200US01843,1843,4247,35149,6234,9584,1183
860Z200US01844,1844,4443,79010,12717,30141,4110
860Z200US01845,1845,961,44432,6042,32052,5431
860Z200US01850,1850,2289,21811,3566,4645,625
860Z200US01851,1851,4907,42053,5456,18102,2531
860Z200US01852,1852,3671,53147,7395,21443,3408
860Z200US01854,1854,3378,37489,7577,13922,1714
860Z200US01860,1860,341,10763,1972,4481,455
860Z200US01862,1862,708,18650,2578,8346,827
860Z200US01863,1863,485,14861,2264,8213,1376
860Z200US01864,1864,379,23626,2666,16764,2499
860Z200US01867,1867,831,37784,3283,29923,5427
860Z200US01876,1876,1813,51446,6127,26883,3895
860Z200US01879,1879,425,17646,2593,10260,1513
860Z200US01880,1880,951,42559,4316,29560,5033
860Z200US01886,1886,505,34213,2829,29454,6036
860Z200US01887,1887,1134,35074,4348,20635,2806
860Z200US01890,1890,589,31689,2015,28271,7522
860Z200US01901,1901,311,2671,403,1101,222
860Z200US01902,1902,10497,62221,8926,17460,2182
860Z200US01904,1904,2262,28240,4615,11387,1688
860Z200US01905,1905,4607,33056,5704,9436,761
860Z200US01906,1906,2395,47036,6394,17188,2575
860Z200US01907,1907,454,23183,2502,17839,3655
860Z200US01908,1908,88,5904,493,4317,794
860Z200US01913,1913,723,28089,4400,14260,1919
860Z200US01915,1915,1099,62866,9036,39152,5789
860Z200US01921,1921,180,12202,1141,10554,1769
860Z200US01922,1922,163,5817,865,3438,647
860Z200US01923,1923,1360,44251,6127,26449,3705
860Z200US01929,1929,125,5296,538,4137,775
860Z200US01930,1930,1462,50831,7005,23987,3763
860Z200US01937,1937,73,283,0,64,14
860Z200US01938,1938,327,22100,2833,14857,2432
860Z200US01940,1940,328,19309,1644,13929,2647
860Z200US01944,1944,40,7769,623,8021,1291
860Z200US01945,1945,258,30946,2580,28488,5078
860Z200US01949,1949,734,15756,1699,8101,1011
860Z200US01950,1950,424,27804,2982,22497,3702
860Z200US01951,1951,0,4965,568,3730,669
860Z200US01952,1952,434,15210,2029,8678,1035
860Z200US01960,1960,3972,87014,11765,38185,4687
860Z200US01965,1965,34,1442,44,1860,109
860Z200US01966,1966,295,11601,1602,8416,1667
860Z200US01969,1969,124,9994,1416,5901,1005
860Z200US01970,1970,2742,67851,9425,41501,6345
860Z200US01982,1982,160,11432,1112,9163,1594
860Z200US01983,1983,191,9584,870,8142,1557
860Z200US01984,1984,65,5528,1504,4725,700
860Z200US01985,1985,132,6923,917,5488,1005
860Z200US02019,2019,562,26239,3427,12282,1625
860Z200US02021,2021,846,36730,3957,27959,5083
860Z200US02025,2025,146,11818,883,10469,1864
860Z200US02026,2026,1120,39324,4150,26806,4846
860Z200US02030,2030,130,7643,449,8048,2080
860Z200US02032,2032,128,6623,688,4899,811
860Z200US02035,2035,602,27764,3023,19991,3215
860Z200US02038,2038,1116,48575,6542,32530,5508
860Z200US02043,2043,465,35220,2581,31579,5890
860Z200US02045,2045,313,17803,2244,10917,1956
860Z200US02047,2047,0,436,49,212,34
860Z200US02048,2048,907,36069,4647,22698,3613
860Z200US02050,2050,756,40575,5786,25866,3418
860Z200US02052,2052,410,17001,1371,16447,3078
860Z200US02053,2053,369,19479,2424,14424,1855
860Z200US02054,2054,294,13464,1606,8135,1186
860Z200US02056,2056,607,16998,1772,11659,1832
860Z200US02061,2061,328,15324,1460,12633,1794
860Z200US02062,2062,1824,47747,5736,32493,4986
860Z200US02066,2066,415,27955,3323,23678,3682
860Z200US02067,2067,337,26407,1949,23203,5201
860Z200US02071,2071,0,2257,152,2141,94
860Z200US02072,2072,2255,45581,5926,22046,3605
860Z200US02081,2081,748,29051,3185,21037,2949
860Z200US02090,2090,617,21688,2087,19162,3643
860Z200US02093,2093,369,19284,2209,12964,1893
860Z200US02108,2108,55,6445,847,5842,1330
860Z200US02109,2109,93,6310,304,6628,1224
860Z200US02110,2110,45,3976,240,4150,1000
860Z200US02111,2111,823,9879,1639,7971,1899
860Z200US02113,2113,151,10137,534,11983,1540
860Z200US02114,2114,375,22666,1171,24443,4774
860Z200US02115,2115,1007,25964,11340,21495,3288
860Z200US02116,2116,1204,32928,3655,31239,7447
860Z200US02118,2118,3754,40855,4018,31461,5843
860Z200US02119,2119,4684,33887,5477,15397,2119
860Z200US02120,2120,1353,12687,5513,8529,1225
860Z200US02121,2121,4550,37986,6056,10785,1550
860Z200US02122,2122,4078,33598,4029,17060,2486
860Z200US02124,2124,7332,74049,11772,29895,4679
860Z200US02125,2125,3607,45723,6062,24345,3935
860Z200US02126,2126,2749,36325,6169,10821,1757
860Z200US02127,2127,1645,59371,3831,55645,7399
860Z200US02128,2128,8186,59750,6761,32172,4180
860Z200US02129,2129,954,30301,1630,26716,5339
860Z200US02130,2130,2455,63846,4047,55454,13838
860Z200US02131,2131,2907,46456,5261,29619,6001
860Z200US02132,2132,988,41738,3889,32583,6748
860Z200US02133,2133,0,0,0,0,0
860Z200US02134,2134,582,25046,2712,26384,4272
860Z200US02135,2135,2353,67300,6419,65099,10287
860Z200US02136,2136,3971,56808,8916,24176,3422
860Z200US02138,2138,494,47773,8511,49104,13003
860Z200US02139,2139,1738,53562,6717,52457,11983
860Z200US02140,2140,849,32883,1802,31693,8571
860Z200US02141,2141,1008,20363,1630,19386,4355
860Z200US02142,2142,5,7358,481,8203,1949
860Z200US02143,2143,1333,40496,2626,39119,7450
860Z200US02144,2144,876,38456,2643,37303,6818
860Z200US02145,2145,3014,40955,3970,30747,4814
860Z200US02148,2148,6590,95847,10722,55122,8639
860Z200US02149,2149,7362,67917,8898,22349,2454
860Z200US02150,2150,9858,45617,5538,16139,1822
860Z200US02151,2151,8637,91061,10843,29725,3672
860Z200US02152,2152,628,32380,4174,17053,2270
860Z200US02155,2155,3351,96065,12523,67735,11647
860Z200US02163,2163,0,2276,688,2792,363
860Z200US02169,2169,4394,96948,12050,57572,9236
860Z200US02170,2170,2308,29985,3876,18534,2579
860Z200US02171,2171,2103,30643,3336,21040,3405
860Z200US02176,2176,1307,45955,4017,34476,6133
860Z200US02180,2180,889,37609,3529,23827,3452
860Z200US02184,2184,2251,59238,7132,33594,5569
860Z200US02186,2186,916,39178,3695,31104,6662
860Z200US02188,2188,843,25953,3262,12274,1629
860Z200US02189,2189,947,24592,3645,12163,1471
860Z200US02190,2190,648,30148,4629,16788,2073
860Z200US02191,2191,389,13737,1620,7143,862
860Z200US02199,2199,30,2125,84,2363,577
860Z200US02203,2203,0,0,0,0,0
860Z200US02205,2205,0,0,0,0,0
860Z200US02210,2210,0,10334,299,11797,2648
860Z200US02215,2215,371,22587,10655,20894,4831
860Z200US02301,2301,9573,88228,14638,25981,2923
860Z200US02302,2302,4221,50191,7804,12759,1550
860Z200US02322,2322,297,7278,1025,2873,253
860Z200US02324,2324,1077,41363,5056,20558,2987
860Z200US02325,2325,0,1132,1625,65,4
860Z200US02330,2330,655,19372,2758,5699,938
860Z200US02332,2332,677,23181,1956,21110,3620
860Z200US02333,2333,714,22907,3770,8701,955
860Z200US02338,2338,196,12081,1637,5265,593
860Z200US02339,2339,522,20477,2487,14531,2073
860Z200US02341,2341,567,16493,2095,7615,1111
860Z200US02343,2343,793,18375,2743,7462,542
860Z200US02346,2346,1397,39839,5968,13830,1384
860Z200US02347,2347,710,17443,2758,8475,1081
860Z200US02350,2350,9,180,21,36,0
860Z200US02351,2351,624,27053,3138,13463,1553
860Z200US02356,2356,328,19124,1955,13014,2210
860Z200US02357,2357,0,407,921,18,9
860Z200US02359,2359,419,28248,4568,15348,2309
860Z200US02360,2360,2480,102492,13467,55337,8000
860Z200US02364,2364,393,22246,3038,13288,1674
860Z200US02366,2366,69,387,46,16,8
860Z200US02367,2367,167,4637,622,1982,233
860Z200US02368,2368,3607,50357,8429,21808,3051
860Z200US02370,2370,743,29037,3961,11470,1322
860Z200US02375,2375,257,18501,2630,10256,1494
860Z200US02379,2379,284,12430,1733,5971,611
860Z200US02382,2382,716,23457,4254,7818,872
860Z200US02420,2420,362,22293,1202,21512,6446
860Z200US02421,2421,367,25935,1196,24477,7332
860Z200US02445,2445,322,30713,1997,31140,8384
860Z200US02446,2446,796,42483,2815,44858,12085
860Z200US02451,2451,1080,28960,3109,19960,3602
860Z200US02452,2452,518,19902,4349,13546,2249
860Z200US02453,2453,2180,43633,5805,32590,6132
860Z200US02457,2457,0,803,891,91,0
860Z200US02458,2458,597,18842,1244,16467,3909
860Z200US02459,2459,251,26462,2311,26273,7578
860Z200US02460,2460,299,14634,705,13119,3537
860Z200US02461,2461,160,10106,371,10333,2795
860Z200US02462,2462,94,2276,201,1770,423
860Z200US02464,2464,80,5324,530,4530,1216
860Z200US02465,2465,384,17471,1053,15850,4040
860Z200US02466,2466,275,11367,1556,10175,2579
860Z200US02467,2467,188,24129,6325,22984,6384
860Z200US02468,2468,92,7586,338,7959,2401
860Z200US02472,2472,1610,57923,4493,46493,9633
860Z200US02474,2474,473,43199,3054,38285,8422
860Z200US02476,2476,707,26388,1547,23530,6113
860Z200US02478,2478,702,38864,2118,35939,9782
860Z200US02481,2481,385,19376,1918,20005,4982
860Z200US02482,2482,197,15509,954,14646,4052
860Z200US02492,2492,319,28271,1520,27758,7111
860Z200US02493,2493,329,15952,1165,15408,3683
860Z200US02494,2494,274,15376,1399,13586,3490
860Z200US02532,2532,599,21604,3430,11060,1738
860Z200US02534,2534,57,2114,288,1723,365
